model,train_time,train_time_mean,train_time_std,prediction_time,prediction_time_mean,prediction_time_std,rmse,rmse_mean,rmse_std,mae,mae_mean,mae_std,n_factors,n_factors_mean,n_factors_std,n_epochs,n_epochs_mean,n_epochs_std,n_runs,precision_at_10,recall_at_10,ndcg_at_10,map_at_10,cores,rank,rank_mean,rank_std,regParam,regParam_mean,regParam_std,maxIter,maxIter_mean,maxIter_std,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,ndcg_at_10_mean,ndcg_at_10_std,map_at_10_mean,map_at_10_std,num_cores,speedup_train,efficiency_train,speedup_prediction,efficiency_prediction
SVD,0.03125190734863281,0.031867424647013344,0.0008706415040798018,0.08057165145874023,0.09122053782145183,0.028796788633797418,0.9806268824825067,0.9806270046466735,2.2924135384480356e-05,0.7676759079426663,0.7677002761271415,0.0005434060032125511,50.0,50.0,0.0,20.0,20.0,0.0,3,0.02329896907216495,0.021312816272958245,0.030176024951857675,0.007914864992992638,,,,,,,,,,,,,,,,,,,1,1.0,1.0,1.0,1.0
ALS,8.085296392440796,8.426424185434977,0.9396739181377838,0.03923964500427246,0.052352587381998696,0.02992418681565338,1.665734617905384,1.665734617905384,0.0,1.352629404929942,1.352629404929942,0.0,,,,,,,3,0.15,0.12,0.18,0.14,local[1],20.0,20.0,0.0,0.1,0.10000000000000002,1.3877787807814457e-17,10.0,10.0,0.0,0.15,0.0,0.12,0.0,0.18000000000000002,2.7755575615628914e-17,0.14,0.0,1,0.003865276649332389,0.003865276649332389,2.0533226396407893,2.0533226396407893
ALS,4.199707984924316,4.228463729222615,0.1846671860274617,0.01805400848388672,0.018176952997843426,0.0012552157463373915,1.6657346179053802,1.66573461790538,2.220446049250313e-16,1.352629404929942,1.352629404929942,0.0,,,,,,,3,0.15,0.12,0.18,0.14,local[2],20.0,20.0,0.0,0.1,0.10000000000000002,1.3877787807814457e-17,10.0,10.0,0.0,0.15,0.0,0.12,0.0,0.18000000000000002,2.7755575615628914e-17,0.14,0.0,2,0.00744144770560661,0.003720723852803305,4.462812318419523,2.2314061592097616
ALS,2.9976065158843994,3.029841502507528,0.2841092218815662,0.01690530776977539,0.019119421641031902,0.004069705010711623,1.6657346179053807,1.6657346179053807,0.0,1.352629404929942,1.352629404929942,0.0,,,,,,,3,0.15,0.12,0.18,0.14,local[4],20.0,20.0,0.0,0.1,0.10000000000000002,1.3877787807814457e-17,10.0,10.0,0.0,0.15,0.0,0.12,0.0,0.18000000000000002,2.7755575615628914e-17,0.14,0.0,4,0.010425620301740103,0.002606405075435026,4.7660564691281415,1.1915141172820354
ALS,2.1991348266601562,2.3053555488586426,0.15526688847226294,0.016464710235595703,0.02111077308654785,0.007178024984947396,1.6657346179053798,1.6657346179053798,0.0,1.352629404929942,1.352629404929942,0.0,,,,,,,3,0.15,0.12,0.18,0.14,local[8],20.0,20.0,0.0,0.1,0.10000000000000002,1.3877787807814457e-17,10.0,10.0,0.0,0.15,0.0,0.12,0.0,0.18000000000000002,2.7755575615628914e-17,0.14,0.0,8,0.014211001058127634,0.0017763751322659542,4.893596686842944,0.611699585855368
