method,train_time,prediction_time,rmse,mae,model_data,n_factors,n_epochs
Popularity-Based,0.008248090744018555,0.4021756649017334,1.072118605059552,0.8260441685600932,"         count  avg_rating  popularity_score
movieId                                     
1           34    4.088235         14.535099
2           17    3.588235         10.371334
3           10    3.700000          8.872213
4            1    3.000000          2.079442
5           12    3.333333          8.549831
...        ...         ...               ...
189043       1    2.500000          1.732868
189333       1    4.000000          2.772589
189547       1    1.000000          0.693147
189713       1    2.500000          1.732868
193567       1    3.000000          2.079442

[4587 rows x 3 columns]",,
User-Based CF,0.12207770347595215,0.9193472862243652,1.0729014391098013,0.8454996518241608,"movieId  1       2       3       4       ...  189333  189547  189713  193567
userId                                   ...                                
1           0.0     0.0     0.0     0.0  ...     0.0     0.0     0.0     0.0
2           0.0     0.0     0.0     0.0  ...     0.0     0.0     0.0     0.0
3           0.0     0.0     0.0     0.0  ...     0.0     0.0     0.0     0.0
4           0.0     0.0     0.0     0.0  ...     0.0     0.0     0.0     0.0
5           0.0     0.0     0.0     0.0  ...     0.0     0.0     0.0     0.0
...         ...     ...     ...     ...  ...     ...     ...     ...     ...
96          5.0     0.0     0.0     0.0  ...     0.0     0.0     0.0     0.0
97          0.0     0.0     0.0     0.0  ...     0.0     0.0     0.0     0.0
98          0.0     0.0     0.0     0.0  ...     0.0     0.0     0.0     0.0
99          0.0     0.0     0.0     0.0  ...     0.0     0.0     0.0     0.0
100         0.0     0.0     0.0     0.0  ...     0.0     0.0     0.0     0.0

[100 rows x 4587 columns]",,
Item-Based CF,0.0,1.3768315315246582,0.9780203918065342,0.7574646881652596,"             mean  count
movieId                 
1        4.088235     34
2        3.588235     17
3        3.700000     10
5        3.333333     12
6        3.968750     16
...           ...    ...
134130   4.500000      5
139385   4.357143      7
148626   4.187500      8
152077   3.600000      5
168252   4.100000      5

[953 rows x 2 columns]",,
Matrix Factorization,7.947169542312622,0.38784050941467285,1.2880874400230384,1.0012420365393986,,10.0,20.0
